Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,RIVA PALACIO,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,RIVA PALACIO,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,RIVA PALACIO,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ROSALES,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ROSALES,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,ROSALES,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,ROSALES,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,ROSARIO,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,ROSARIO,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,ROSARIO,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,ROSARIO,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SAN FRANCISCO DE BORJA,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SAN FRANCISCO DEL ORO,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SANTA BARBARA,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SANTA BARBARA,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SANTA BARBARA,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SANTA BARBARA,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SANTA ISABEL,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SANTA ISABEL,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SANTA ISABEL,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SANTA ISABEL,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SATEVO,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SATEVO,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SATEVO,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SATEVO,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,SAUCILLO,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,SAUCILLO,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,SAUCILLO,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,SAUCILLO,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,TEMOSACHIC,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,TEMOSACHIC,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,TEMOSACHIC,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,TEMOSACHIC,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,URIQUE,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,URIQUE,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,URIQUE,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,URIQUE,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,URUACHI,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,URUACHI,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,URUACHI,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,URUACHI,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,376.24,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIHUAHUA,VALLE DE ZARAGOZA,NORTE,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,ALVARO OBREGON,"VALLE DE MÉXICO NORTE, CENTRO Y SUR",668.11,668.11,668.11,668.11,668.11,668.11
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,ALVARO OBREGON,"VALLE DE MÉXICO NORTE, CENTRO Y SUR",1.913,1.928,1.928,1.98,2.021,1.963
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,ALVARO OBREGON,"VALLE DE MÉXICO NORTE, CENTRO Y SUR",341.11,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,ALVARO OBREGON,"VALLE DE MÉXICO NORTE, CENTRO Y SUR",265.43,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,AZCAPOTZALCO,VALLE DE MÉXICO NORTE Y CENTRO,668.11,668.11,668.11,668.11,668.11,668.11
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,AZCAPOTZALCO,VALLE DE MÉXICO NORTE Y CENTRO,1.913,1.928,1.928,1.98,2.021,1.963
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,AZCAPOTZALCO,VALLE DE MÉXICO NORTE Y CENTRO,341.11,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,AZCAPOTZALCO,VALLE DE MÉXICO NORTE Y CENTRO,265.43,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,BENITO JUAREZ,VALLE DE MÉXICO CENTRO,505.9,505.9,505.9,505.9,505.9,505.9
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,BENITO JUAREZ,VALLE DE MÉXICO CENTRO,1.803,1.817,1.817,1.866,1.904,1.85
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,BENITO JUAREZ,VALLE DE MÉXICO CENTRO,266.5,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,BENITO JUAREZ,VALLE DE MÉXICO CENTRO,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,COYOACAN,VALLE DE MÉXICO SUR,586.59,586.59,586.59,586.59,586.59,586.59
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,COYOACAN,VALLE DE MÉXICO SUR,2.006,2.022,2.022,2.077,2.12,2.059
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,COYOACAN,VALLE DE MÉXICO SUR,329.92,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,COYOACAN,VALLE DE MÉXICO SUR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,VALLE DE MÉXICO CENTRO Y SUR,505.9,505.9,505.9,505.9,505.9,505.9
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,VALLE DE MÉXICO CENTRO Y SUR,1.803,1.817,1.817,1.866,1.904,1.85
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,VALLE DE MÉXICO CENTRO Y SUR,266.5,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,VALLE DE MÉXICO CENTRO Y SUR,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,CUAUHTEMOC,VALLE DE MÉXICO CENTRO,505.9,505.9,505.9,505.9,505.9,505.9
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,CUAUHTEMOC,VALLE DE MÉXICO CENTRO,1.803,1.817,1.817,1.866,1.904,1.85
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,CUAUHTEMOC,VALLE DE MÉXICO CENTRO,266.5,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,CUAUHTEMOC,VALLE DE MÉXICO CENTRO,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,VALLE DE MÉXICO NORTE Y CENTRO,668.11,668.11,668.11,668.11,668.11,668.11
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,VALLE DE MÉXICO NORTE Y CENTRO,1.913,1.928,1.928,1.98,2.021,1.963
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,VALLE DE MÉXICO NORTE Y CENTRO,341.11,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,VALLE DE MÉXICO NORTE Y CENTRO,265.43,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,IZTACALCO,VALLE DE MÉXICO CENTRO,505.9,505.9,505.9,505.9,505.9,505.9
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,IZTACALCO,VALLE DE MÉXICO CENTRO,1.803,1.817,1.817,1.866,1.904,1.85
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,IZTACALCO,VALLE DE MÉXICO CENTRO,266.5,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,IZTACALCO,VALLE DE MÉXICO CENTRO,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,IZTAPALAPA,VALLE DE MÉXICO CENTRO Y SUR,505.9,505.9,505.9,505.9,505.9,505.9
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,IZTAPALAPA,VALLE DE MÉXICO CENTRO Y SUR,1.803,1.817,1.817,1.866,1.904,1.85
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,IZTAPALAPA,VALLE DE MÉXICO CENTRO Y SUR,266.5,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,IZTAPALAPA,VALLE DE MÉXICO CENTRO Y SUR,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,VALLE DE MÉXICO SUR,586.59,586.59,586.59,586.59,586.59,586.59
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,VALLE DE MÉXICO SUR,2.006,2.022,2.022,2.077,2.12,2.059
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,VALLE DE MÉXICO SUR,329.92,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,VALLE DE MÉXICO SUR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,MIGUEL HIDALGO,VALLE DE MÉXICO NORTE Y CENTRO,668.11,668.11,668.11,668.11,668.11,668.11
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,MIGUEL HIDALGO,VALLE DE MÉXICO NORTE Y CENTRO,1.913,1.928,1.928,1.98,2.021,1.963
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,MIGUEL HIDALGO,VALLE DE MÉXICO NORTE Y CENTRO,341.11,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,MIGUEL HIDALGO,VALLE DE MÉXICO NORTE Y CENTRO,265.43,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,MILPA ALTA,VALLE DE MÉXICO SUR,586.59,586.59,586.59,586.59,586.59,586.59
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,MILPA ALTA,VALLE DE MÉXICO SUR,2.006,2.022,2.022,2.077,2.12,2.059
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,MILPA ALTA,VALLE DE MÉXICO SUR,329.92,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,MILPA ALTA,VALLE DE MÉXICO SUR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,TLAHUAC,VALLE DE MÉXICO SUR,586.59,586.59,586.59,586.59,586.59,586.59
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,TLAHUAC,VALLE DE MÉXICO SUR,2.006,2.022,2.022,2.077,2.12,2.059
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,TLAHUAC,VALLE DE MÉXICO SUR,329.92,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,TLAHUAC,VALLE DE MÉXICO SUR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,TLALPAN,VALLE DE MÉXICO SUR,586.59,586.59,586.59,586.59,586.59,586.59
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,TLALPAN,VALLE DE MÉXICO SUR,2.006,2.022,2.022,2.077,2.12,2.059
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,TLALPAN,VALLE DE MÉXICO SUR,329.92,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,TLALPAN,VALLE DE MÉXICO SUR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VALLE DE MÉXICO CENTRO,505.9,505.9,505.9,505.9,505.9,505.9
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VALLE DE MÉXICO CENTRO,1.803,1.817,1.817,1.866,1.904,1.85
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VALLE DE MÉXICO CENTRO,266.5,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VALLE DE MÉXICO CENTRO,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CIUDAD DE MÉXICO,XOCHIMILCO,VALLE DE MÉXICO SUR,586.59,586.59,586.59,586.59,586.59,586.59
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CIUDAD DE MÉXICO,XOCHIMILCO,VALLE DE MÉXICO SUR,2.006,2.022,2.022,2.077,2.12,2.059
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CIUDAD DE MÉXICO,XOCHIMILCO,VALLE DE MÉXICO SUR,329.92,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CIUDAD DE MÉXICO,XOCHIMILCO,VALLE DE MÉXICO SUR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,ABASOLO,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,ABASOLO,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,ABASOLO,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,ABASOLO,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,ACUNA,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,ACUNA,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,ACUNA,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,ACUNA,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,ALLENDE,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,ALLENDE,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,ALLENDE,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,ALLENDE,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,ARTEAGA,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,ARTEAGA,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,ARTEAGA,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,ARTEAGA,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,CANDELA,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,CANDELA,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,CANDELA,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,CANDELA,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,CASTANOS,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,CASTANOS,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,CASTANOS,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,CASTANOS,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,CUATRO CIENEGAS,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,CUATRO CIENEGAS,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,CUATRO CIENEGAS,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,CUATRO CIENEGAS,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,ESCOBEDO,GOLFO NORTE,372.22,372.22,372.22,372.22,372.22,372.22
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,ESCOBEDO,GOLFO NORTE,1.246,1.255,1.255,1.288,1.312,1.277
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,COAHUILA,ESCOBEDO,GOLFO NORTE,300.02,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,COAHUILA,ESCOBEDO,GOLFO NORTE,237.03,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,COAHUILA,FRANCISCO I. MADERO,NORTE,575.38,575.38,575.38,575.38,575.38,575.38
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,COAHUILA,FRANCISCO I. MADERO,NORTE,1.429,1.44,1.44,1.477,1.506,1.465
