Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,AGUASCALIENTES,TEPEZALA,BAJÍO,277.76,277.76,277.76,277.76,277.76,277.76
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,AGUASCALIENTES,TEPEZALA,BAJÍO,1.659,1.672,1.672,1.717,1.751,1.702
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,AGUASCALIENTES,TEPEZALA,BAJÍO,405.39,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,AGUASCALIENTES,TEPEZALA,BAJÍO,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,0.779,0.784,0.784,0.802,0.816,0.796
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,0.779,0.784,0.784,0.802,0.816,0.796
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA,MEXICALI,BAJA CALIFORNIA,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,0.779,0.784,0.784,0.802,0.816,0.796
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA,PLAYAS DE ROSARITO,BAJA CALIFORNIA,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,0.779,0.784,0.784,0.802,0.816,0.796
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA,TECATE,BAJA CALIFORNIA,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,0.779,0.784,0.784,0.802,0.816,0.796
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,211.95,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,BAJA CALIFORNIA,TIJUANA,BAJA CALIFORNIA,276.66,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,535.8,535.8,535.8,535.8,535.8,535.8
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,2.704,2.725,2.725,2.801,2.86,2.777
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,BAJA CALIFORNIA SUR,COMONDU,BAJA CALIFORNIA SUR,211.95,,,,,
